iter	Passed	Remaining
0	1	111
1	2	129
2	4	149
3	6	164
4	9	175
5	10	166
6	11	156
7	12	145
8	13	137
9	15	135
10	16	132
11	18	133
12	19	131
13	21	129
14	23	132
15	24	127
16	25	122
17	25	118
18	26	114
19	28	112
20	28	108
21	29	105
22	30	102
23	32	103
24	34	102
25	35	100
26	36	97
27	37	95
28	38	93
29	38	90
30	39	88
31	40	86
32	41	84
33	42	82
34	43	80
35	44	78
36	45	77
37	47	76
38	48	75
39	49	74
40	50	72
41	50	70
42	51	68
43	52	66
44	53	64
45	53	63
46	54	61
47	55	59
48	55	58
49	56	56
50	57	54
51	57	53
52	58	51
53	58	50
54	59	48
55	60	47
56	61	46
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	66	37
64	67	36
65	68	35
66	68	33
67	69	32
68	69	31
69	70	30
70	71	29
71	71	27
72	72	26
73	72	25
74	73	24
75	74	23
76	75	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	83	12
87	84	11
88	85	10
89	86	9
90	86	8
91	87	7
92	88	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	93	0
99	94	0
