iter	Passed	Remaining
0	167	166889
1	169	84618
2	171	56938
3	173	43108
4	174	34734
5	176	29277
6	181	25690
7	182	22596
8	183	20178
9	183	18207
10	185	16652
11	185	15313
12	187	14206
13	188	13259
14	192	12616
15	193	11914
16	195	11289
17	196	10719
18	197	10193
19	198	9711
20	199	9280
21	200	8902
22	200	8536
23	201	8202
24	202	7895
25	206	7718
26	207	7490
27	208	7239
28	209	7002
29	209	6781
30	210	6576
31	211	6386
32	211	6205
33	212	6035
34	213	5874
35	213	5728
36	214	5588
37	215	5451
38	216	5324
39	216	5202
40	217	5083
41	219	4997
42	220	4911
43	222	4827
44	223	4737
45	224	4664
46	225	4574
47	226	4487
48	226	4403
49	227	4323
50	228	4243
51	228	4168
52	229	4095
53	229	4023
54	230	3956
55	230	3893
56	231	3835
57	233	3798
58	235	3758
59	236	3703
60	237	3649
61	237	3596
62	238	3543
63	239	3495
64	239	3446
65	240	3402
66	241	3357
67	241	3313
68	242	3271
69	242	3228
70	243	3186
71	244	3146
72	244	3108
73	245	3069
74	245	3032
75	247	3007
76	248	2983
77	250	2961
78	251	2930
79	252	2898
80	252	2866
81	253	2839
82	253	2806
83	254	2776
84	255	2746
85	255	2719
86	256	2692
87	257	2665
88	258	2641
89	258	2615
90	259	2590
91	259	2564
92	260	2540
93	262	2532
94	264	2517
95	265	2500
96	266	2479
97	266	2457
98	267	2434
99	268	2413
100	268	2393
101	269	2373
102	270	2352
103	270	2332
104	271	2312
105	271	2293
106	272	2274
107	273	2255
108	273	2237
109	274	2218
110	275	2209
111	277	2202
112	279	2190
113	280	2179
114	281	2162
115	281	2146
116	282	2131
117	283	2115
118	283	2100
119	284	2085
120	285	2070
121	285	2054
122	286	2040
123	286	2025
124	287	2011
125	287	1997
126	288	1982
127	289	1968
128	289	1955
129	290	1942
130	292	1937
131	294	1935
132	296	1929
133	296	1917
134	297	1905
135	297	1892
136	298	1880
137	299	1868
138	299	1856
139	300	1844
140	300	1832
141	301	1819
142	301	1809
143	302	1799
144	303	1788
145	304	1778
146	304	1767
147	305	1757
148	306	1751
149	308	1748
150	310	1744
151	311	1735
152	312	1727
153	312	1718
154	313	1709
155	314	1699
156	314	1690
157	315	1681
158	316	1671
159	316	1662
160	317	1652
161	317	1643
162	318	1634
163	319	1626
164	319	1617
165	320	1611
166	322	1610
167	324	1606
168	325	1600
169	326	1593
170	327	1587
171	328	1581
172	329	1575
173	330	1567
174	330	1559
175	331	1551
176	332	1544
177	332	1536
178	333	1528
179	333	1521
180	334	1513
181	335	1506
182	337	1505
183	338	1501
184	340	1497
185	340	1491
186	341	1484
187	342	1478
188	342	1471
189	343	1464
190	344	1458
191	344	1451
192	345	1444
193	346	1437
194	346	1431
195	347	1425
196	348	1420
197	349	1414
198	351	1414
199	353	1412
200	354	1409
201	355	1403
202	356	1398
203	357	1393
204	358	1388
205	359	1383
206	359	1378
207	360	1373
208	361	1368
209	362	1363
210	363	1358
211	364	1353
212	366	1354
213	367	1351
214	369	1347
215	370	1343
216	371	1339
217	372	1334
218	372	1329
219	373	1324
220	374	1318
221	374	1313
222	375	1308
223	376	1302
224	376	1297
225	377	1292
226	377	1286
227	378	1281
228	379	1279
229	381	1278
230	383	1276
231	384	1272
232	384	1266
233	385	1262
234	386	1257
235	452	1466
236	455	1466
237	457	1464
238	459	1462
239	462	1465
240	467	1471
241	470	1472
242	471	1468
243	473	1466
244	474	1462
245	478	1467
246	480	1466
247	482	1463
248	484	1461
249	485	1457
250	487	1455
251	488	1449
252	492	1454
253	495	1455
